id,context,utterance,implicature,implicature2
3494,Did you bring the beer?,You know I don't drink.,0,No
3495,Do you enjoy reading classics?,I like modern novels.,0,No
3496,Do you want to work closer to home?,I would love less commute.,1,Yes
3497,Have you ever played guitar in a band on stage ?,I'm too scared to perform in front of other people.,0,No
3498,Are you caught up with your work?,For the most part.,1,Yes
3499,Ready for the weekend?,Can't wait to go to the lake Saturday.,1,Yes
3500,It is too far from where you live?,It's a 2-hour drive each way.,1,Yes
3502,Do you go out on the weekends?,Only when I'm not busy at home.,1,Yes
3503,Do you happen to enjoy war history or global history?,I don't like wars.,0,No
3504,Want to read this new crime detective book?,I have too many books going already.,0,No
3505,Will you be using public transportation?,I'll be taking the train since it's more convenient.,1,Yes
3506,Do you listen to a lot of music?,"If I don't have something playing, I have a soundtrack in my head.",1,Yes
3507,Do you need experience?,I think they will train me.,0,No
3509,Are you going anywhere tonight?,I.m trying that new restaurant.,1,Yes
3510,Have you been living here all this time?,I was living abroad for years.,0,No
3511,Would you like a lower level flat?,I would prefer lower level so I don't have to climb too many stairs.,1,Yes
3512,Did you move here because of work?,I was drawn here because of food scene.,0,No
3513,Are you working?,I'm running my own business.,1,Yes
3514,Do you own a bike?,My mountain bike is an amazing piece of equipment.,1,Yes
3515,Did you enjoy playing board games growing up as a kid?,I was the king of Scrabble.,1,Yes
3516,Will you work on the weekends?,Gosh I hope not!,0,No
3517,Have you been living here for a long time?,I moved in two years ago.,1,Yes
3518,Are you happy with the flat?,I like the flat,1,Yes
3519,Do you like being responsible for others?,I consider myself a good manager.,1,Yes
3520,Do you enjoy travel?,When it's first class.,1,Yes
3521,Are you getting any benefits?,There are a few,1,Yes
3522,Are you interested in vegan food,I wouldn't say I am,0,No
3523,Are you into Thai food?,I enjoy it well,1,Yes
3524,Have you been to Torchys?,Not yet,0,No
3525,Do you like to be outdoors?,I prefer a cozy day inside.,0,No
3526,Do you want to live in a quiet neighborhood?,I prefer to be in the middle of all the action.,0,No
3527,Do you have to be home for a certain time?,Luckily I haven't had a curfew since I was 18.,0,No
3528,Can you see the ocean from it?,I can see the river.,0,No
3529,Do you like red meat?,I prefer chicken.,0,No
3530,Are you still in contact with the other neighbors?,I don't know how to get a hold of any of them.,0,No
3531,Do you still like classical music?,I love Mozart.,1,Yes
3532,Are you interested in history?,I like to learn about history.,1,Yes
3533,Would you like to meet me for a drink?,Can we go right now?,1,Yes
3534,Do you have any big plans for the weekend?,I'm going on a road trip!,1,Yes
3535,Do you often read nonfiction?,I read them maybe once a month.,1,Yes
3536,Have you ever done karaoke?,I'm too embarrassed.,0,No
3537,Are you interested in Kingdom Hearts?,That is not on my list.,0,No
3538,Do you enjoy fishing?,I find standing on a riverbank quite boring.,0,No
3539,Are you coming to work tomorrow?,Monday is my next workday.,0,No
3540,Are you from Austin?,I am from California.,0,No
3541,Does your son still enjoy going to high school ?,He finds it hard.,0,No
3542,Are you interested in cars?,I've had the same car since I was 16.,0,No
3543,Are you from Austin?,I actually live in Portland.,0,No
3544,Do you like jazz?,I really don't,0,No
3545,Are you from around here?,I am from the next town,1,Yes
3546,Do you have a job lined up?,I'm still looking.,0,No
3547,Will you have a longer commute if you switch?,The drive to work should be shorter now.,0,No
3548,Want to go dancing?,It really depends on where we're going.,1,Yes
3549,Have you read any best sellers lately?,I just finished reading 'Unspeakable Things'.,1,Yes
3550,Will you be watching that new drama this evening?,I will record it for tomorrow.,0,No
3551,Want to come over for coffee tomorrow?,I'm more of a tea drinker.,1,Yes
3552,Do you miss all our old friends?,I always wish I could see you guys.,1,Yes
3554,Did you get enough sleep?,Not as much as I would've liked.,0,No
3555,Do you have cash saved up for a down payment?,I've been saving up for a while now.,1,Yes
3556,Are you a member of a club or group?,I belong to the rotary club.,1,Yes
3557,Do you like your supervisor?,he is quite nice,1,Yes
3558,Is this going to be full-time?,They've promised me 40 hours.,1,Yes
3559,Have you found a flat yet?,We've narrowed it down to a couple we've seen.,1,Yes
3560,Do you have gloves ?,I only have my hat.,0,No
3561,Do you still drink?,I'm dry right now.,0,No
3562,"Hey, are you off until Tuesday?","That's right, Monday is a holiday.",1,Yes
3563,Shall we book a taxi to lift us?,Depends on where you want to go.,1,Yes
3564,Do you like pop?,I love to listen to the Top 40.,1,Yes
3565,Do you enjoy a complicated plot with lots of characters?,I do like a book that makes me think.,1,Yes
3566,Do you enjoy being scared when you read?,I'd rather laugh.,0,No
3567,Do you like cultural delicacies?,I love getting to know other cultures in any way.,1,Yes
3568,Do you like red meat?,Burgers are my favorite meal.,1,Yes
3570,Do you enjoy working in a team environment?,I prefer working alone.,0,No
3571,Have you read the Game of Throne books?,I saw the TV show.,0,No
3572,Have you seen the new Netflix series?,I binge watched it!,1,Yes
3573,Did you just move to Texas?,I moved about 4 months ago,1,Yes
3574,Do you like your co-workers?,We all have a very symbiotic relationship.,1,Yes
3575,Did you consult with your partner/parents?,My parents gave me some great advice about investing in property.,1,Yes
3576,Want to go get a drink somewhere?,We can go get a drink in a few hours.,1,Yes
3577,Will you have enough room for your pets?,She sleeps with me.,1,Yes
3578,"Hi, are you okay?",I'm feeling all right.,1,Yes
3579,Will you be going out at the weekend ?,I am staying in both days.,0,No
3580,Do you like the neighborhood?,IT has been good to me so far,1,Yes
3581,Did you try the new brunch spot?,They've been too crowded.,0,No
3582,Do you like to attend concerts?,I rarely go to concerts.,0,No
3583,Are you into trying a mom and pop burger place near me?,I prefer to support local.,1,Yes
3584,Do you paint?,"I do, but I don't paint very often.",1,Yes
3585,Would you want to go to the beach this weekend?,I'm still recovering from my sunburn from last weekend.,0,No
3586,Have you played the cello?,I only play the piano.,0,No
3587,Do you have house chores to do this weekend?,All my chores are finished,0,No
3588,Do you prefer being indoors?,I love to sit out in the sunshine in the summer.,0,No
3589,Are you a fan of classic literature?,I really enjoy Jane Austen.,1,Yes
3590,Is the flat in Queens?,You know I hate Queens.,0,No
3591,Do you want to have a BBQ this evening?,I would rather go out to eat.,0,No
3593,Do you often read nonfiction?,Not very often,0,No
3594,Do you want to grab a drink?,I'm afraid I don't drink.,0,No
3595,Do you own a car?,I have a car,1,Yes
3596,Do you like to go to high-end place?,It depends on the type of restaurant,1,Yes
3597,Would you be off on weekends?,"I am looking for a professional role, so most likely.",1,Yes
3598,Do you like movies?,It depends on the genre,1,Yes
3599,Will your family be visiting this weekend?,They've changed their plans.,0,No
3600,Is your favorite food Mexican?,I could eat it every day.,1,Yes
3601,Will you be in tomorrow?,I'm in first thing.,1,Yes
3602,Do you prefer books published recently?,I watch the New York Times best seller list.,1,Yes
3603,Do you like crowds?,I don't like being around large groups of people.,0,No
3604,do you like salads?,I eat salads every day.,1,Yes
3605,Are you into football?,I'd rather watch tennis.,0,No
3606,Can you handle the cost of living there?,We both have high salaries.,1,Yes
3607,Do you enjoy watching movies?,It depends on the movie,1,Yes
3608,Are community gatherings important?,We like to do our own thing.,0,No
3609,You have any change of clothes?,I packed for a month.,1,Yes
3610,Will you fancy a trip to the pub tomorrow?,I'd rather stay in and watch a film.,0,No
3611,Can we exchange numbers?,I'll put you in my phone.,1,Yes
3612,Do you like nonfiction?,Philosophy is good.,1,Yes
3613,Do you like fancy restaurants?,If someone else pays for me.,1,Yes
3614,Would you like to come eat with me and my friends at our table?,Thanks but I'll stay over here by myself.,0,No
3615,Do you want to go sightseeing this weekend?,I would love that,1,Yes
3616,Would you like to go to the Opera?,If we can get seats in the orchestra.,1,Yes
3618,Do you love fast life?,I'm a homebody.,0,No
3619,Are you still living in town?,It's a different town now,0,No
3620,So how do you feel about falafel for lunch?,that would be good,1,Yes
3622,Are you a fan of comic books,It depends on the author.,1,Yes
3623,Is everything good with you?,Never been better.,1,Yes
3624,Do you want to travel somewhere?,"Japan, hopefully.",1,Yes
3625,Have you got any kids?,Everything I do is for them.,1,Yes
3626,Do you like working by yourself?,I'm better as part of a team.,0,No
3627,Do you have plans after work today?,I was going to head home for a nap.,1,Yes
3628,Are you happy?,I'm thrilled to see you.,1,Yes
3629,Have you gone to any good concerts lately?,Not recently,0,No
3630,Have you had pho?,Vietnamese is my favorite.,1,Yes
3631,Are you offering the asking price?,We are negotiating for a lower price.,0,No
3632,Have you ever been to a roller derby?,I've heard they are fun.,0,No
3633,Do you think you can get a job in New York?,If I can make it here I can make it anywhere.,1,Yes
3634,Shall we go out for a drink tonight?,I think we should,1,Yes
3635,Is this your child?,"This is my son, Thomas.",1,Yes
3636,Are you doing okay?,I am good thanks,1,Yes
3637,Have you read the Harry Potter books?,I still need to check them out.,0,No
3638,Was work stressful today?,Today was pretty chill.,0,No
3639,Would you like to check out a local brewery this week?,I am not into beer.,0,No
3640,Do you like heavy metal?,I love a bit of heavy metal.,1,Yes
3641,Have you been downtown to any of the museums?,I've seen the art museum.,1,Yes
3642,"If you do decide to take this new job, would you consider as a promotion?",The money's there.,1,Yes
3643,Will you wait in line if the food is good?,As long as the line isn't ridiculous.,1,Yes
3644,Do you work with data a lot?,Working with data is the biggest part of my job.,1,Yes
3645,Do you ever smoke?,The last time I had a cigarette was in college.,0,No
3646,Are you looking at an expensive apartment?,My budget is pretty low.,0,No
3647,Is your family moving in with you?,I live on my own.,0,No
3648,Are you planning on working in the city?,I plan on commuting to Connecticut for work.,0,No
3649,Are you going to the club this weekend?,I need to work overtime unfortunately.,0,No
3650,Are you heading home?,I am in about 10 minutes,1,Yes
3651,Are you leaving town for the weekend?,We're getting away!,1,Yes
3652,Is today pay day?,I'm going to spend it all at the club.,1,Yes
3653,"If you didn't have any plans yet, would you want to go and see the capitol building while you're in town?",I have plans already.,0,No
3654,Have you ever been to a roller derby?,"I think they look interesting, but I have yet to go to one.",0,No
3655,Do you need to live next to a subway station?,It's not a big deal.,0,No
3656,Do you still eat burgers?,I do like the odd burger,1,Yes
3658,Do you work nearby?,We work in town.,1,Yes
3659,Is there anything special you wanted to see while you're here?,Show me your favorite things.,1,Yes
3660,Do you stay up late?,I go to sleep before the sun goes down.,0,No
3661,How about we grab some burgers for dinner?,I'm more in the mood for Chinese.,0,No
3662,Do you have any fun plans for the weekend?,I have chores to finish.,0,No
3663,Have you been to the cinema lately?,Not since we moved here.,0,No
3664,Are you interested in hearing live music in the park?,Only if it's folk music.,1,Yes
3665,Are you okay?,I'm doing fine.,1,Yes
3666,Do you want to go for a drink?,"I have plans tonight, sorry.",0,No
3667,Did you play any musical instrument as a child?,I always wanted to play sax.,0,No
3668,Are you still in contact with the other neighbors?,I haven't met many neighbors.,0,No
3669,Do you like the neighborhood so far,I love it.,1,Yes
3670,Did you enjoy the last walk we went on?,It was a delightful time.,1,Yes
3671,Have you met up with anyone else we know?,I saw David on the bus.,1,Yes
3672,Is Mexican food too spicy for you?,The heat in Tex-Mex is too much for me.,1,Yes
3673,Do you know anyone in the area?,I know a few faces,1,Yes
3674,May I get your phone number?,of course you can,1,Yes
3675,Do you like steak?,If it's cooked medium well.,1,Yes
3677,Have you been to this area before?,I was born and brought up here.,1,Yes
3678,Do you like cats?,I love cats,1,Yes
3679,Do you prefer spicy dishes?,I put hot sauce on everything.,1,Yes
3680,Would you like to meet me for a drink?,I'm free now.,1,Yes
3681,Do you like guitars?,I love hearing my partner play Spanish guitar.,1,Yes
3682,Are you doing well?,I've been feeling a little under the weather.,0,No
3683,Do you like to BBQ?,Well cooked BBQ is quite a treat.,1,Yes
3684,Are you looking for a place with more than one bathroom?,Just one bathroom will be fine.,0,No
3685,Are you into Thom Yorke?,"He was part of Radiohead, right?",0,No
3687,Do you like to watch football?,If it's a team I like.,1,Yes
3688,Do you enjoy outdoor activities?,Running long distances is meditative.,1,Yes
3690,Is the salary higher?,I believe so.,1,Yes
3691,Did you already eat?,"I had lunch, but I'm always hungry.",1,Yes
3692,Do you feel you get paid enough?,I deserve to be paid more.,0,No
3693,Did you get a new haircut?,Thanks for noticing!,1,Yes
3694,Are you allergic to any foods?,I don't have allergies.,0,No
3695,Are you getting a raise?,I'll make more money elsewhere.,0,No
3696,Do you like metal and loud music?,Metal and loud music gives me a terrible headache.,0,No
3697,Do you take a drink with your food,I like having water.,1,Yes
3698,Was work stressful today?,It wasn't too bad today,0,No
3699,Do you like living here?,I just renewed my lease.,1,Yes
3700,Have you read any Stephen King novels?,"That's my favorite author, and I have every one of his books!",1,Yes
3701,Would you want to go to the beach this weekend?,That sounds like fun!,1,Yes
3702,Do you still live in the old neighborhood?,I live with my parents on our old block.,1,Yes
3705,Have you considered freelancing?,I prefer something with more job security.,0,No
3706,Do you like business related books?,I prefer self-help.,0,No
3707,Are you concerned about your salary?,I would say it is fine as it is,0,No
3708,Do you still have your pet hamster?,It died a few years back.,0,No
3709,Do you sing?,My voice is horrible.,0,No
3710,Have you read the Game of Throne books?,I'm not a fan of the series,0,No
3711,Are you doing well?,Things could be worse.,1,Yes
3712,Is it nearby public transit?,Transit is everywhere there.,1,Yes
3713,Are going shopping?,We have to pick up a few things.,1,Yes
3714,Do you read a lot of books?,It depends on my mood,1,Yes
3715,Are you still interested in space?,I tend to like down-to-earth stuff now.,0,No
3716,Did you have a nice drive here?,The traffic was terrible.,0,No
3717,Do you like going to dance clubs?,Most weekends,1,Yes
3718,Are you willing to live by yourself?,I'd prefer to have a room mate.,0,No
3719,Do you like African music?,I never listen to it.,0,No
3720,Did you see the newest Harlequin romance line?,Romance is not my thing.,0,No
3721,Do you like trivia?,My memory for useless facts isn't the best.,0,No
3722,Are you a manager of people?,I could see myself as one.,0,No
3723,Do you enjoy outdoor activities?,Only in the summer.,1,Yes
3724,Do you drive to work?,I ride my bike every day.,0,No
3726,Are you single?,I'm still seeing the same person.,0,No
3727,Are you a fan of meat?,I'm a vegetarian.,0,No
3728,Want to go dancing?,If you don't mind your toes getting squished.,1,Yes
3729,Have you been living here for a long time?,I've just moved in.,0,No
3730,"So, do you have plans for this weekend?",I will be very busy preparing for the holidays.,1,Yes
3731,Do you have to be home for a certain time?,I have the weekend off.,0,No
3732,Would you like to join the rally this weekend?,I don't like crowds.,0,No
3733,Do you have a pet?,I wish my apartment allowed animals,0,No
3734,Have you been to any shows lately?,I recently went to a local battle of the bands in my city.,1,Yes
3735,Do you want to eat tacos?,If we can try that Mexican place I saw on Yelp.,1,Yes
3736,Does a place that\'s cozy sound good?,That sounds great.,1,Yes
3737,Do you like to read fiction books?,I prefer to learn while reading.,0,No
3738,Are you worried about the cost?,We have great income.,0,No
3739,Did you consult with your partner/parents?,I'm flying solo.,0,No
3740,Do you get engulfed in the story?,I love immersing myself in a good book.,1,Yes
3741,Do you like tacos?,When they are well made.,1,Yes
3742,Did you live local before?,I've tried to.,1,Yes
3743,Is this somewhere you plan on living for a while?,I will only be here for a year.,0,No
3744,Have you been to a concert this month?,I haven't been for many months,0,No
3745,Should we meet again next week?,I'll be on vacation in Paris.,0,No
3746,Have you ever tried daal from Tarka?,It's too spicy.,1,Yes
3747,Want to check out some new music?,I'm happy with my playlist.,0,No
3748,Am I the same as you thought I'd be now?,You haven't changed a bit.,1,Yes
3749,Will your payments be about the same as what you pay for rent right now?,"They will, for a smaller place though.",1,Yes
3750,Is your favorite food Mexican?,I wouldn't say that,0,No
3752,Have you heard of any local restaurants?,I googled a few.,1,Yes
3753,Do you enjoy eating new foods?,I'm open to single bite of anything.,1,Yes
3754,Do you ever wish we were still neighbors?,It was great to be neighbors.,1,Yes
3755,Is there a specific dish that you enjoy?,Curry is my favorite.,1,Yes
3756,Were you young when you first went to a concert?,I was fifteen.,1,Yes
3757,Is the commute long?,"During rush hour, it can be.",1,Yes
3758,Are you glad it is the weekend?,I'm always glad when the weekend arrives.,1,Yes
3759,Do you like to eat fast food?,I avoid all fast food.,0,No
3761,Are you doing okay?,I've been kind of down lately.,0,No
3762,Do you like reading books?,I prefer to listen to them.,0,No
3763,Do you like books based on true events?,some of them I do,1,Yes
3764,Will the new job pay better?,I should be able to afford that car I want.,1,Yes
3765,Are you into fiction?,I prefer non friction.,0,No
3766,Does it pay better?,a little bit better,1,Yes
3767,Have you got a car?,I plan to walk and take the subway everywhere.,0,No
3768,Can you afford it long term?,Money is no longer an issue for me.,1,Yes
3769,Do you like going to the cinema or watching films in general?,I'm a regular film goer.,1,Yes
3771,Have you been to the new restaurant?,I was there last week,1,Yes
3772,Are willing to work  night shifts?,I'd rather not.,0,No
3773,Can you read more than one book at a time?,I'm working on two right now.,1,Yes
3774,Have you been to any restaurants recently?,We've been checking out all the new spots.,1,Yes
3775,Do you have more responsibilities?,I won't have to manage people.,0,No
3776,Are you a supervisor?,"I was offered a supervisor position, but I turned it down.",0,No
3777,Do you like being outside?,In the summer,1,Yes
3778,Are you fit and healthy?,I work-out and eat right.,1,Yes
3779,Do you like hiking?,I love roaming around the mountains in the summer.,1,Yes
3780,Do you want to do stuff that is unique to my town?,That would be interesting.,1,Yes
3781,Have you learned how to play an instrument?,I am learning guitar.,1,Yes
3782,Do you remember me?,How could I forget you?,1,Yes
3783,Are you a big fan of romance novels?,I'm more into science fiction.,0,No
3784,Is it very tiring?,I'm exhausted every weekend.,1,Yes
3785,Do you like novels?,Depends on the subject matter.,1,Yes
3786,Are you interested in cars?,I love my new Tesla.,1,Yes
3787,Are you interested in cars?,For transportation.,1,Yes
3788,Would you like to see a movie?,I'd rather take a nap.,0,No
3789,Did you finish the project on time?,Just barely!,1,Yes
3790,Want to go to the Drake concert in town?,I don't like Drake.,0,No
3791,Have you read anything from the NYT bestseller list?,I have read a few books from it,1,Yes
3792,Do you still have an interest in eating healthy foods?,"I'm not on diet anymore, but I still love salads.",1,Yes
3794,Do you want to go do something together?,That sounds like fun,1,Yes
3795,Is country music your favorite music?,I prefer rock.,0,No
3796,Would you like to go the pub sometime?,"This Saturday, if you're free?",1,Yes
3797,Should the new company be located near home?,It is quite far away from home.,0,No
3799,Are you happy?,I can't stop crying.,0,No
3801,Do you read alot?,I check out three new books from the library each week.,1,Yes
3802,Are you a Gemini?,I'm a Libra actually.,0,No
3803,Have you tried different ethnic foods?,I've gotten the pleasure of trying all sorts of foods on my travels.,1,Yes
3804,Do you like any new song playing on the radio?,some of them are good,1,Yes
3805,Would you like to hit the local game shop later?,I'd prefer to hit the local bar.,0,No
3806,Do you work from home?,I go to an office five days a week.,0,No
3807,Did you get all your projects finished?,They're all done now.,1,Yes
3808,Do you want to go to the movies this weekend?,I'm going out of town this weekend.,0,No
3809,Are you single?,I've had a partner for 10 years.,0,No
3811,Would you like to go biking Saturday?,Any outside activity on the weekend makes me happy.,1,Yes
3812,Are you going to the high school reunion in June?,I think I might pass on that,0,No
3813,Are you happy with the flat?,I can do better.,0,No
3814,Do you realize how much money that's going to be?,I know it'll be a lot.,1,Yes
3815,Are you planning any trips this year?,We've got a few planned.,1,Yes
3816,Would you like to check out this museum?,I'd prefer to go see a movie.,0,No
3817,Do you like to eat out?,I prefer eating at home.,0,No
3818,Are you into mysteries?,I mostly read mysteries.,1,Yes
3819,Are you good at making new friends?,I'm a very sociable person.,1,Yes
3820,Are you vegan?,Can't give up seafood and dairy.,0,No
3821,Did you have ideas about things you would like to do?,I want to see lots of tourist attractions,1,Yes
3822,Are you going to the gym today?,I will go before bed.,1,Yes
3823,Do you like being active?,I try to stay active.,1,Yes
3824,Are you caught up with your work?,I am now,1,Yes
3826,Are you a fan of superheros?,I like the old Superman.,1,Yes
3827,Are you happy to be switching jobs?,When I get paid more it's encouraging.,1,Yes
3828,Are you going out tonight?,I might stay in,0,No
3829,Do you still live in the neighborhood?,We are just visiting.,0,No
3830,Is the pay good?,The pay is better at my current job.,0,No
3831,Are you pleased with your house?,It has a lot of character and it's cosy.,1,Yes
3832,Are you divorced?,I'm happily married.,0,No
3833,Did you ever play the guitar?,I tried it once.,1,Yes
3834,Do you like burritos,When they are well made.,1,Yes
3836,Have you stayed in touch with anyone from school?,I don't see anyone from school,0,No
3837,Are you into theater?,I prefer movies.,0,No
3838,Is your family well?,They're all doing good.,1,Yes
3839,Did you have a good flight?,There was a lot of turbulence.,0,No
3840,do you have kids?,In the future maybe,0,No
3841,Do you like techno music?,I gpt into that scene in Detroit.,1,Yes
3842,Do you know anyone there?,Friends and co-workers reside there.,1,Yes
3843,Did you enjoy your time as a bus driver before your current job?,That job was awful.,0,No
3844,Are your kids still living with you?,They are all grown up.,0,No
3845,Do you still go to the ice cream shop we loved?,It went out of business.,0,No
3846,Are you into the cinema?,I love watching films especially on the big screen.,1,Yes
3847,You want to crash a friend's house?,I'd rather have a quiet evening home alone.,0,No
3848,Do you like fiction?,I prefer true stories.,0,No
3849,Will you be able to stay for a week?,I hope so!,1,Yes
3850,Do you want to get dinner?,I'm trying to save money.,0,No
3851,Do you listen to classes musical?,I haven't tried that.,0,No
3852,Do have family in New York?,I don't know anyone here.,0,No
3853,You get that job?,They turned me down.,0,No
3854,Are you a manager?,I was a project manager.,1,Yes
3855,Are mysteries something you are interested in?,I like mysteries with a female detective.,1,Yes
3856,Have you heard of ACDC?,They are one of my favourite bands,1,Yes
3857,Do you fancy a drink after your long journey?,I'd rather rest.,0,No
3858,Do you read books on an eReader?,I like looking up words there while I am reading.,1,Yes
3859,Do you think you might want to go camping this weekend?,I really dislike camping.,0,No
3860,Do you have family coming to visit?,"Not this weekend, thank goodness.",0,No
3861,Do you like Jay Z's music?,Rap music is weird.,0,No
3862,Would you like one in the city or a bit outside?,I'd prefer a flat in the city.,1,Yes
3863,Do you think you might want to go camping this weekend?,I'd love to go.,1,Yes
3864,Are you unhappy at your current job?,I have been bored.,1,Yes
3865,Do you like rock and roll music?,I like a lot of it,1,Yes
3866,Did you enjoy Taylor Swift's new album?,She's too poppy for me.,0,No
3867,Are you staying at a hotel?,I booked an AirBnB.,0,No
3868,Did you stay in the same neighborhood?,I moved to Chicago years ago.,0,No
3869,Are you still studying arts?,I never did study arts,0,No
3870,Would you go to a football game with me?,If you can treat for tickets.,1,Yes
3871,Do you like rock music?,I love rock music,1,Yes
3872,You have any kids?,We keep trying.,0,No
3873,Do you like ethnic food?,I wouldn't say I do,0,No
3874,Are you planning on traveling this year?,If I can save enough money.,1,Yes
3875,Do you think you might want to go camping this weekend?,I would rather not have to camp.,0,No
3877,Do your parents still live in your old house?,They do.,1,Yes
3878,Are your studies going well?,I'm about to graduate Summa Cum Laude.,1,Yes
3879,Do you work during the day?,I do better in the evenings.,0,No
3880,Do you get your books from the library?,I borrow ebooks from the library.,1,Yes
3881,Do you like books with movie remakes?,Movie-based book are not always very good.,0,No
3882,Do you work on weekends?,I only work Monday through Friday.,0,No
3883,Do you want to rent a movie to watch together?,You pick the movie.,1,Yes
3884,Do you like to work with computers?,They're a useful tool.,1,Yes
3885,Did you have a good week at work?,I had a great week.,1,Yes
3886,Do you still live in our hometown?,I moved away a few years ago.,0,No
3888,Did you visit any flats you're interested in yet?,I have seen a few,1,Yes
3889,Have you been to New York?,Only once.,1,Yes
3890,Have any children?,I have a sweet little boy.,1,Yes
3891,Have you lived in Europe?,In college I did a semester abroad.,1,Yes
3892,Are outside activities something you enjoy?,I am a good tennis player.,1,Yes
3893,Have you read any of Jodi Piccolt's books?,I would like to read her books one day.,0,No
3895,Do you read a lot?,I can't get my nose out of a book.,1,Yes
3896,Will you stay here for a while?,I am only here for the day.,0,No
3897,Are you into theater?,I prefer literature.,0,No
3898,Did your parents share any music with you?,My dad taught me to love rock music.,1,Yes
3899,Are long books your thing?,I can never get through them.,0,No
3900,Will your family be visiting this weekend?,If my nephew is over his illness.,1,Yes
3901,Is being near public transportation a priority?,Cost is more important to me.,0,No
3902,Can I help you with your stuff?,Don't worry I got it.,0,No
3903,Do you prefer to eat later in the evening?,I would prefer to,1,Yes
3904,Do you like traveling?,Staying close to home makes me happy.,0,No
3905,Shall I book a table at my favourite restaurant tomorrow night?,I will be ready at 8 PM.,1,Yes
3906,Are you renting your place?,thats the plan,1,Yes
3907,Would you like to go shopping together this Saturday?,I don't have a lot of time this weekend.,0,No
3908,Were you able to finish that project before end of day?,I was luckily,1,Yes
3909,Do you enjoy a complicated plot with lots of characters?,You know it.,1,Yes
3910,Do your parents still live in the same house?,they moved out years ago,0,No
3911,Looking forward to a couple days off?,I can't wait,1,Yes
3913,Are nonfiction books interesting to you?,I don't usually read non fiction,0,No
3914,Do you like to eat out?,I prefer to stay home and cook my own meals.,0,No
3915,Did you have a good day today?,I had to deal with several angry customers.,0,No
3916,Are you a fan of jazz music?,I don't like jazz,0,No
3917,Do you drink?,I'm tee total.,0,No
3918,Do you like burritos,When they don't have beans.,1,Yes
3919,Do you still work at the supermarket?,Same place as before.,1,Yes
3920,Are you a fan of going to the cinema?,I go with my girlfriend a lot.,1,Yes
3921,Would you like to talk about sports?,Only if you want to talk about basketball.,1,Yes
3922,Do you like to BBQ?,I'm a vegan.,0,No
3923,Can you read more than one book at a time?,"I can, but I often don't.",1,Yes
3924,Have you always worked in this field?,I've been in the same field since I graduated high school.,1,Yes
3925,Did you check your credit to see if you are able to apply for mortgage?,I was approved last month.,1,Yes
3926,Do you have children?,I have twins.,1,Yes
3927,Did you go to medical school?,I went for a few years,1,Yes
3928,Do you like your boss?,He seems to be a pretty nice guy.,1,Yes
3929,Do you want to try that new Japanese place?,Let's have burgers instead.,0,No
3930,Are you gong to the work get-together Saturday?,If I can find a ride.,1,Yes
3931,Is there an opportunity to progress up the career ladder in your new job?,They are always training us to new levels.,1,Yes
3932,Did you have ideas about things you would like to do?,I was thinking we could play laser tag.,1,Yes
3933,Do you have any special diet?,Dairy messes me up.,1,Yes
3934,Do you need a ride anywhere?,"I could use a ride to the gym, if you don't mind.",1,Yes
3935,Is your salary okay?,It could be better.,1,Yes
3936,Do you want to be outside?,I'd prefer to be indoors.,0,No
3937,Are you new to the city?,I moved in last week.,1,Yes
3938,Would you be interested in a pool party?,I could go for a quick dip.,1,Yes
3939,Do you eat organic foods?,"If I can, I always eat organic food.",1,Yes
3940,Does pizza sound ok?,I don't tend to like Italian food.,0,No
3941,Do you like Indian food?,"I love it, the curry is my favorite.",1,Yes
3942,Do you live far from here?,I live on the east coast.,1,Yes
3943,Is shopping up your alley?,I'm a shop-a-holic.,1,Yes
3944,Will you be seeing your family this weekend?,"My parents, I think.",1,Yes
3945,"In your current job, do you work on a team?",I work alone.,0,No
3946,Have you seen anyone else from back then recently?,It's been too long.,0,No
3947,"Do you like serene, and calm music?",If I'm trying to relax.,1,Yes
3948,Do you enjoy going to the cinema?,If the movie is good I do,1,Yes
3949,Do you like hiking?,I love hiking in the mountains.,1,Yes
3950,Have you heard about the author J.K. Rowlings?,I know a bit about her,1,Yes
3951,Do you work?,I won't retire for 20 more years.,1,Yes
3952,Hey are you still living in Maryland?,I live in Michigan.,0,No
3953,Do you like hip/hop music?,some of is good,1,Yes
3954,Do you like going on hikes?,I love to walk and feel the air in my face and the sun on my back.,1,Yes
3955,Did you meet any of the other neighbours?,I met the couple that lives across from me.,1,Yes
3956,Are you in a band now?,I have never been in a band,0,No
3957,Do you have plans for this evening?,This evening is wide open.,0,No
3958,Do you listen to classical?,Not a fan of that music,0,No
3959,Do you want to live in a quiet neighborhood?,I'm hoping that it's a lively neighbourhood.,0,No
3961,Is country your favorite genre of music?,"It's not my favorite, but I like it.",0,No
3962,Do you need amenities like a gym?,I'd love a restaurant in the building.,1,Yes
3963,Do you live far from here?,I'm on the other side of the state.,1,Yes
3964,Are you looking for a building with an elevator?,I don't mind stairs.,0,No
3965,How about we grab some burgers for dinner?,That sounds perfect.,1,Yes
3966,Do you like going to gigs?,When it's a local artist.,1,Yes
3967,Does your job involve customer service?,I don't have any contact with the customers.,0,No
3968,Do you want to work remotely?,Working from home would be a dream come true.,1,Yes
3969,Do you like beets?,Beets are good for my iron levels.,1,Yes
3971,Do you like to eat healthy food?,When I'm trying to lose weight.,1,Yes
3972,Do you manage people at your current position?,I'm over a team of seven administrators.,1,Yes
