context,utterance,implicature
Have you read any fantasy novels?,I'm not a fan of them,0
Did you enjoy reading non-fiction books in school?,they were quite interesting,1
Do you like crime novels?,As long as it isn't too gruesome.,1
Do you enjoy art?,Matisee is my favorite painter.,1
Did you enjoy your drive here?,It was a bit too long of a drive for me.,0
Do you have a favorite restaurant in the area?,I only got here yesterday.,0
Do you have kids now?,I only have a dog.,0
Are you a lover of food and drinks?,Cooking is my favorite hobby.,1
Do you like this neighbourhood?,It's a dream to be here.,1
Any fun plans this weekend?,We're getting hitched.,1
Do you have a specific job in mind?,I would like to be a supervisor.,1
Are you outgoing?,I am an introvert.,0
Are your parents okay?,They're getting divorced.,0
Are you interested in politics?,Politics are really confusing.,0
Do you like books with movie remakes?,When it's a fantasy theme.,1
Do you need help in knowing the neighbourhood?,I can find my way around.,0
Are you employed full-time?,I work 5 days a week.,1
Do you want to catch up over breakfast?,I would love to chat and have a full English.,1
Do you want to the movies?,I'm down.,1
Did you have any trouble getting here?,I got lost along the way.,1
Would you enjoy sightseeing downtown?,I want to see all parts of the city.,1
Have you read the new Stephen King book?,I've read all Stephen King books so far,1
Do you work 9 to 5?,My hours are flexible.,1
Have you been to any restaurants recently?,I tried a new Indian restaurant and it was bomb!,1
Do you want to go to the movies?,I haven't seen anything on the listings worth the money.,0
Do you like living in New Jersey?,I prefer Manhattan.,0
Do you have your own washer and dryer?,I need to invest in them,0
Do you work with people?,The computer is my coworker.,0
Do you like techno music?,I prefer rock,0
Do you have any kids?,Three and one on the way.,1
Are you interested in outdoor activities?,I prefer staying indoors.,0
Do you like spicy/hot food?,Hot food makes my stomach hurt.,0
Are you allergic to garlic?,I have no problem eating garlic.,0
Did you read boos as a child?,I have always loved to read,1
Do you know how expensive property is in New York?,Not realiy,0
Want to grab a bite to eat?,Let's check out the new brewery next door.,1
Have you got an allergy to nuts?,"Peanuts, especially.",1
Did you get the pool key?,I have it somewhere,1
do you want to go swimming?,It is too cold.,0
Any ideas on exactly where you'd like to buy?,I have narrowed my options down quite dramatically.,1
Are you still working as a lawyer?,I just wrapped up a big case yesterday.,1
Are you looking for a building with an elevator?,I don't mind taking stairs.,0
Isn't Lord of the Rings boring?,I disagree.,0
Did you like the restaurant we went to?,It was great.,1
Would you like a romance story?,If it's written by Jackie Collins.,1
Are you eating on a budget?,I have to watch how much I spend on food.,1
Do you like Italian?,I prefer Chinese.,0
Will you still work in town at this new job?,I'll have to drive out of town to work there.,0
Does your work require creativity?,It depends on the task.,1
Do you need a nap?,"I napped on the plane, so I'm good.",0
Did you find my place OK?,I got lost at first but then I remembered where to go.,1
Do you like guitars?,"I can't play, but I like to listen to them.",1
Are you relieved it's Friday?,I am always happy to see Friday,1
Are you any good at water volleyball?,I'm not very good at it.,0
Have you been to a music festival this year?,I still have to choose one to go to.,0
Do you like steak?,The thicker the better.,1
Do you want to live close to a subway stop?,quite close would be good,1
Would you want to go to a steakhouse?,I'm a vegetarian.,0
Do you listen to music on the radio?,My NPR station plays jazz.,1
Do you see yourself raising a family in New York?,I will never have a family.,0
Are you unhappy at your current job?,I've never been happier.,0
Have you tried Thai food?,A while back I did.,1
Would you like to go eat some sushi?,I could tomorrow for lunch.,1
Do like a spicy foods?,it is okay,1
Are you sure you want to buy?,I'm tired of renting.,1
Have you read anything from the NYT bestseller list?,I only like to read books from local authors.,0
Have you read any books by Terry Pratchett?,Discworld is one of my favourite books.,1
Have you got a spending budget?,I'm broke.,0
Do you enjoy spending time with family on the weekend?,We are a close family and spend weekends all together.,1
Do you have kids?,Not yet,0
Do you like to bowl?,not as much as I used to,0
Will you be working there?,I'm going to live off my savings.,0
Are you still living in the same house?,I moved out of there right after my father passed away.,0
Do you listen to classical?,I prefer pop.,0
Would it be close to transportation?,There's a bus stop on the corner.,1
Do you prefer to eat later in the evening?,I usually have an early dinner.,0
Do you work with people?,only 3 or 4,1
Do you have to finish up the spreadsheet by Monday?,I've already finished it.,0
Do you enjoy drum solos?,I prefer guitar solos.,0
Did you go to live gigs regularly?,I go as often as I can,1
Are you watching any new TV shows?,I like to keep up with Queer Eye.,1
Do you have children?,My kids are all grown up.,1
Are you going to the supermarket ?,I need to pick up some milk and eggs.,1
Are you a sports fan?,"Hockey, baseball, and basketball are all great.",1
Are you bored in your current job?,It's still fun for me.,0
Are you into cycling?,I joined a spin class.,1
Did you have a hard time getting here?,It was rough.,1
Do you care about the lyrics at all?,I usually don't even listen to them.,0
Do you like horror movies?,I really don't,0
Does it have to be in the city itself?,It's ok if it's outside the city.,0
Would like to read a fantasy novel?,Very much so!,1
Have you been to SXSW?,I'm not familiar with it.,0
Have you lived in Europe?,That's my home Country,1
Have you been to ACL Festival?,I was planning on going this year.,0
Have you visited other friends recently?,I haven't traveled in a couple years.,0
Do you have a degree?,I have a Masters in French Literature.,1
Do you enjoy arts & crafts?,I like making things with my hands.,1
Are you planning to have a busy weekend?,I think it'll be pretty chill.,0
Do you  have any kids?,I find kids annoying.,0
Have any pets?,just the one,1
Do you enjoy the science fiction genre?,I'm not into sci-fi at all.,0
Do you follow the local sports teams?,We have a great football team but a lame baseball team.,1
Do you want to be on a floor high up?,I'd prefer to be in a garden flat.,0
Will you have a longer commute if you switch?,It'll actually be a shorter drive.,0
Is it too expensive?,Everything is overpriced in the Big City.,1
Do you live far from here?,I live in London!,1
Do you still go to watch the football at the weekends ?,I try to.,1
Have you been to a farmer's market?,I'm not that into foodie stuff.,0
Going anywhere this weekend?,I don't have any concrete plans.,0
While you're in town do you want to go see a game of American football?,I prefer to watch baseball.,0
Do you have a date night all planned out?,She planned it.,1
Are you a fan of nonfiction?,Biographies are fascinating.,1
Have you stayed in touch with anyone from school?,I wish!,0
Do you prefer to be active?,I consider myself to very active.,1
Would you enjoy a jazz concert?,Jazz isn't really my thing.,0
Do you enjoy eating new foods?,I'm excited to try German food.,1
Do you follow the best sellers lists?,I like to keep up with them.,1
Do you watch romantic movies?,I love a gushy movie.,1
Did you stay here the whole time?,I lived in South America for years.,0
Wanna hang out at the weekend?,I don't feel like it.,0
Does the new John Grisham book sound good?,I don't read anything by him.,0
Do you still live in the same area?,I moved a couple of years ago,0
Do you like water sports?,Waterskiiing is the bomb.,1
Are you happy?,I haven't ever been so happy.,1
Have you flown before on an airplane?,I fly often.,1
Are you married now?,Been married for two years.,1
Do you like buffets?,I love buffets,1
Does music help you relax?,Classical music is good for that.,1
Do you like fancy cars?,I love the Tesla.,1
Are you going home now?,I have to stop by the grocery store first.,0
Have you ever played guitar in a band on stage ?,I'm not nearly that skilled.,0
Is there a specific dish that you enjoy?,I love steak and chips.,1
Is the flat comfortable?,The flat is quite spacious and I'll make it cozy.,1
Are you into trying new foods?,Adventure is my middle name.,1
Did you working in a corporate environment?,I like working in corporate but not all of the time.,1
Do you not like your boss?,He's hard to get along with.,0
Do you enjoy loud parties?,I'd rather stay home and read a book.,0
Does the flat have an entertaiment space?,There's a little but of space for a TV.,1
Are you working the graveyard shift?,I never work the late shift.,0
Have you ever done karaoke?,I'm too embarrassed.,0
Have you ever been to a music festival?,I prefer to listen to music online.,0
Is fiction what you're mostly into?,I read fiction and nonfiction equally.,0
"Have you been thinking about buying a flat in New York, for a long time?",It's been a dream of mine since college.,1
Are you into team sports?,I'm in multiple leagues.,1
Do you like to read paper magazines?,I don't read magazines much.,0
Do you play sports?,I hate anything resembling exercise.,0
Are you a manager?,I was in my last job,0
Are you single?,"Currently, scouting new prospects on Tinder every day!",1
Do you like cats?,Only the short-haired ones.,1
Do you read science type books?,Science is really interesting.,1
Would you like a large building?,I wouldn't mind,1
Do you play video games?,I haven't since I was a kid.,0
Do you enjoy complicated plots?,If they make sense in the end.,1
Do you like tacos?,Only in Mexico.,1
Do you have any pets?,I have a dog and cat.,1
Want to go to a concert with me?,I would love to,1
Want to have a BBQ this weekend?,I'm down.,1
Do you have any siblings?,I'm an only child.,0
Do you want to get some pancakes?,sounds like a plan,1
Do you have any plans this weekend?,I have a lot of writing to do.,1
Do you want to do stuff that is unique to my town?,that would be great,1
Do you want to try some borscht with me?,"I like soup, but not sure what that has to do with music.",1
Did you like your new neighbors?,They seem very friendly.,1
Do you want to go get drinks from the nearby bar?,Let's get loose!,1
Do you like mysteries?,When it doesn't take too long to get through them.,1
You still living around here?,We live near the old school.,1
Did you grow up in the area?,I'm just moving here.,0
Shall we arrange to meet again soon?,Here's my number.,1
Did you just move to Texas?,I moved about 4 months ago,1
Will it be affordable?,It's a little over my budget.,0
Is your family doing well?,We are all healthy.,1
Would you like to rest before we go out?,"I'm fine, let's go.",0
Do you have any kids?,"Not yet, but I'll have some someday.",0
Did you have a good day today?,Casual Friday's are always fun.,1
Do you still have an interest in eating healthy foods?,I'll eat anything.,1
Did you think Cinderella was entertaining?,For a children's movie.,1
You finish school?,I did indeed,1
Do you want to eat at chain restaurant?,That sounds tolerable.,1
Have you ever played the violin?,I have only ever played the drums,0
Have you eaten a lot of seafood?,Whenever the opportunity presents itself.,1
Do you like sushi?,I can't stand it.,0
Looking forward to this weekend?,I can't wait,1
Do you prefer happy endings?,It's nice when things work out in the end.,1
Do you like ice cream?,I'm lactose intolerant.,0
Do you like fancy restaurants?,If I have dough.,1
Have you ever seen a live band play?,Only in the local park.,1
Do you enjoy Italian cuisine?,I could eat pasta all year long.,1
Do you want fast food?,I'd rather eat at home.,0
Do you like romance books?,I've never read any.,0
Do you enjoy eating steaks?,Only when they are cooked to perfection.,1
Will you be working there?,I have a few prospects.,1
Were you young when you first went to a concert?,I was fifteen.,1
Is your job located there?,It's in Brooklyn.,1
Are you interested in sushi?,I love all Japanese cuisine.,1
Would you like to go camping this weekend at the park?,I would prefer to go backcountry camping.,1
Have you ever been to a music festival?,I find them too loud.,1
Aren't you happy it's Friday?,Isn't everyone?,1
Do you like arts and crafts?,It's my favorite pastime.,1
Have you lived in the Pacific Northwest for a long time?,Just moved here,0
Did you move from somewhere else in town,Out of town,0
Do you enjoy sports?,I'm a baseball player.,1
Are you vegan?,I eat everything,0
Would your ideal weekend be spent outside of the house?,I am not home much.,1
Do have family in New York?,I have an aunt in Harlem.,1
"Hi, are you okay?",Still grieving the loss of my mom.,0
Do you like to dine in?,Only when the restaurant has good ambiance.,1
Do you like to to get outside?,I prefer a cozy day reading.,0
Do you play guitar?,I've always wanted to learn.,0
Did you get your dream job?,"I'm getting there, I do at least work in the industry.",0
Would you like to get some coffee?,How about some tea instead?,0
How about trying some curry?,My favourite is vindaloo but I also like madras.,1
Have you been to the reggae fest here?,I went last year.,1
Do you want one bedroom?,I need two bedrooms for my children.,0
Do you want to change before we go out to dinner?,I'd love to put on a dress.,1
Do you have any food allergies?,"Peanuts, shellfish, you name it.",1
Have you eaten a lot of seafood?,Seafood is one of my favorites.,1
You have any change of clothes?,I brought some in my bag.,1
Have you been in town this whole time?,I currently live in another country!,0
Will you be going to the big New Year's Eve party this year?,It depends if I can arrange it.,1
Have you any photos of your family now?,Let me bring them up on my phone.,1
Do you like to run?,I'm not really into running,0
Do you like ethnic food?,I wouldn't say I do,0
Do you like to hear orchestras play?,I absolutely love classical music.,1
Do you want a ride home?,I'm good.,0
Are you into EDM?,I like British EDM the most.,1
Have  you read Malcolm Gladwell's book?,I don't know him,0
Do you like Michael Buble?,He's classy.,1
Do you have friends that live around here?,I have a few high-school buddies in the 'hood.,1
Have you liked living in your house ?,It's the perfect home.,1
Will you be the head of your department?,I am just the assistant.,0
Do you see any of our old friends?,I keep in touch with some of them.,1
Did you get a job in that area?,I'm still looking.,0
Will the new job have benefits?,it has some benefits,1
Do you listen to the radio much?,Only at work.,1
Are you taking someone on a date this weekend?,I'm broke until payday.,0
Will you be in the area long?,I'm visiting for a few days.,0
Do you enjoy American Food?,I enjoy most of it,1
Do you want to meet some of my friends?,"If they're like you, they must be fun.",1
Do you have any pets,I would love a dog,0
Have you been keeping well?,Work and school have got me feeling run down.,0
Was that biography that you read any good?,I couldn't finish it.,0
Did you get married?,I met my husband 20 years ago.,1
Do you like rock and roll music?,Rock and roll is my favorite genre.,1
you don't like the company culture?,The culture has too much structure.,0
Is it stressful all the time?,Always.,1
Is pizza ok?,I had pizza for lunch.,0
Would you like to come for dinner,Such a lovely suggestion.,1
Do your parents still live in the same house?,My parent's paid off their mortgage just a few years ago.,1
Do you remember Charlotte?,Charlotte and I talk regularly.,1
Have you lived in New York before?,I've lived in three borroughs.,1
Do you prefer a quiet setting?,I like action.,0
Glad it's the weekend?,I am very happy it is,1
Do you have a kindle?,I got one for my birthday last year.,1
Are you single?,I've been married for 20 years!,0
Have you given many presentations?,I make a new Power Point every week.,1
Have you heard of The Script?,I have no idea what you're talking about.,0
Are you looking for things you can only enjoy in this city?,I'm looking for activities specific to the culture of this city.,1
Can you see yourself living in a condo?,I see myself living in a stylish loft.,0
Would you enjoy sightseeing downtown?,That sounds great,1
Are you looking for a job in New York?,that is the plan,1
Are you up for a hike tomorrow morning?,I need to sleep in.,0
Would you like to go to the Opera?,It depends on which one is playing.,1
Do you like art?,Modern art is really cool.,1
Did you just move to this area?,I moved here about a year ago.,0
Hey do you enjoy jazz lounges?,Can't say I've ever been to one.,0
Do you play any instruments?,I still get out my guitar every now and then.,1
Have you had Korean food?,I love Korean food.,1
Do you like rap music?,I'm not much of a fan of rap.,0
Are you still working as a lawyer?,I am indeed,1
Want to go out on Saturday night for a meal ?,I would love to,1
Have you ever read any of the classics?,I've never read a classic novel.,0
Did you working in a corporate environment?,I do.,1
Are you looking for something more challenging?,I'm happy perfecting what I'm doing right now.,0
Do you go camping?,I have never been camping.,0
Are you connected to your local library?,My library card expired a few years ago.,0
Do you still live in the same home?,I got my own apartment.,0
Do you like going out to bars?,I quit drinking years ago.,0
Do you have to work tomorrow?,The shift starts at 7.,1
You driving tonight?,I think I will get a taxi later.,0
"In work, do you find yourself to be analytical?","I am thorough in the quality of the work I do, but I'd prefer to be more creative.",1
Did you like my music CD?,Many of the tracks were enjoyable.,1
Are you in the mood for oysters?,That sounds good.,1
Are you here visiting from out of town?,I only get here about once a year.,1
Is it expensive?,It's a very expensive place to live.,1
Have you tried the tex mex here?,Let's try it together!,0
Did you like my music CD?,I loved it,1
Is everything good with you?,I've been very ill.,0
Have you done a book club before?,I haven't really considered it.,0
Have you seen Rhianna's newest video?,I've never seen any of her videos.,0
Was work alright this week?,I have a headache from all the meetings.,0
Are you getting benefits?,Full coverage!,1
Do you like relaxing music?,I love instrumental music.,1
Is there a pension scheme available ?,I am on my own there.,0
Are you outgoing?,I like to be at home reading a book.,0
Would you like to eat local cuisine?,That depends on what it is.,1
Do you like to work out?,I work out every day.,1
Did you want to exchange contact info so we can stay in touch?,I'll email you my info.,1
Are you interested in calling some Realtors?,That'd be helpful.,1
Do you plan on going home?,I need to run some errands before heading home.,0
Did you listen to the new Taylor Swift album?,I'm not really a fan of her new stuff.,0
Are you going to be the boss?,I will manage a division.,1
Did you work in tech?,I have done for a while,1
Is it similar to your current role?,I think it's the same.,1
Do you like a lot of bass in your music?,I love when my car reverberates.,1
Did you move to Chattanooga?,What is that?,0
Have you been to SXSW?,I'm not familiar with it.,0
Have you kept in touch with anyone here?,I have with a few,1
Would you like something European?,I'm in the mood for American.,0
Do you like rap?,I used to like Eminem.,1
Have you ever read Neil Gaiman?,Who is he?,0
Do you have a laptop computer?,I don't use a computer.,0
Did you want to see that movie?,Only if it's still in theaters.,1
Are you tired?,I sure didn't get enough sleep last night.,1
Are you going to eat out for dinner?,I think I'd rather do that than cook tonight.,1
Are you always watching TV?,Only during the day.,1
Have you been enjoying your stay?,It's been a wonderful experience so far.,1
Is your job challenging enough for you?,It's too challenging.,1
Is disk golf fun to you?,I play it a lot in the summer.,1
Have you kept in contact with anyone we used to know?,Some of them I have,1
Are you into sports?,I play tennis.,1
Do you like to BBQ during the summer?,It's one of my favorite passtimes.,1
Do you like cardio?,I prefer yoga.,0
Aren't you glad it's Friday?,It's my favorite work day!,1
Have you ever done karaoke?,"The one time I did, I embarrassed myself.",1
Do you like any new song playing on the radio?,I don't listen to the radio much.,0
Do you listen to new music every Friday?,I listen to new music everyday.,1
Is it on the top floor?,It's on the ground floor.,0
Do you want to eat at chain restaurant?,I'm hungry for Burger King.,1
Want to go get a drink??,Let's do it.,1
Will you be participating in any sporting activities on Saturday ?,I have not got any plans for that,0
Would you like to pet my dog?,I love all animals.,1
Have you given many presentations?,That's not something I have to do at my current job.,0
Did you go to University?,Never had the money to go,0
Do you want to be on a floor high up?,I prefer a lower floor,0
Have you been having fun?,This is a blast.,1
Did you play clarinet in high school?,I don't know how you knew that.,1
Is it a better paid job?,Much better,1
Did you enjoy your drive here?,There was a lot of traffic.,0
Did you start your job a long time ago?,Twenty years and counting!,1
Do you like the neighborhood?,I wish there was a river or lake close by.,0
Do you have any memberships to fitness club?,I let mine expire.,0
Does it have a nice view?,My apartment overlooks the parking lot.,0
Do you go out on the weekends?,I like to stay at home.,0
Would you be interested in cultural events in the area?,I'd like to go to the festival that will be in town.,1
Do you live alone?,For now.,1
Do you still like Avengers?,I'm not really into the Marvel Comics movies.,0
Does your house have a swimming pool?,We have an above-ground pool.,1
Do you want to head straight home?,I could take a detour.,0
Do you want to grab a bite to eat?,I am pretty hungry right now.,1
Were you born in this country?,We moved here when I was 16.,0
Do you have a job in New York?,I am looking for one.,0
Is the flat located near your job?,It will be closer than my current place.,1
Have you gone hiking around?,I try to go for a hike every weekend.,1
Do you like living in a flat?,I'm pretty happy with that.,1
Are there things you'd prefer not to eat today?,I want to avoid anything too heavy.,1
Are you a fantasy fan?,Fantasy is my go to.,1
Do you have any kids?,I don't have kids.,0
Do you like cheeseburgers?,"The cheesier, the better.",1
Are you a manager of people?,I work on my own,0
Are you new in the neighborhood?,I have lived here for many years.,0
Do you like eating fast food?,My body is a temple.,0
Do you like alcohol or wine with dinner?,A good Merlot makes the meal better.,1
Is it a pay increase?,It's a promotion of sorts.,1
Have you found a good realtor?,I haven't looked for one yet.,0
Do you like to see live music?,Live music is the best,1
Would you like something more exotic?,I'd like something Swedish.,1
Do you want to be downtown?,That is my hope.,1
Did you move here?,I'm just in town on business.,0
Are you looking at an expensive apartment?,I need something on the cheaper side.,0
Does your job require you to travel?,I'll have to travel once a month.,1
Should we go for a drink?,Let's do it.,1
Should the new company be located near home?,I would like a shorter commute.,1
Have you heard about that musical at the theatre this weekend?,The advertising looks good.,1
Can you afford the flat?,I make a considerable amount more.,1
Have you been to the area parks yet?,I went to them all last week.,1
Want to go to the farmer's market with me this weekend?,I'd love to join you.,1
Do you eat breakfast early in the morning?,I hardly eat breakfast.,0
Are you taking someone on a date this weekend?,I'm going out with my husband this weekend.,1
Are you still planning to retire next year?,Everything is going according to plan.,1
Shall we go for a drink at a bar?,I'd love to.,1
Do you have a bicycle?,I bike everywhere.,1
Do you like sports?,If the town has a good team.,1
Do you like to watch movies?,I'm a huge film buff.,1
Can you sing/ rap?,I am tone deaf.,0
Do you make enough money at your job?,Not enough to pay the rent.,0
Do you need space to park a car?,I don't own a car.,0
Did you know there's no sales tax in Oregon?,I get all my booze there for that reason.,1
Do you like any new song playing on the radio?,Depends on the song.,1
Are you a vegetarian ?,I am the opposite of a vegetarian.,0
Are you living in a high rise apartment?,Only if there's an elevator.,1
Have you been keeping well?,I have.,1
Would like to reconnect over dinner tomorrow?,I have band practice on Mondays.,0
Do you want to meet some of my friends?,Any friends of your I'm sure I'll get along with.,1
Are you originally from this town?,I grew up on the other coast.,0
Will you be the head of your department?,I'll only be in charge of five other people.,0
Did you check your credit to see if you are able to apply for mortgage?,My credit is good enough for what I want.,1
Are you new to the neighborhood?,We just moved back.,0
Are you from out of state?,I've never lived outside this state.,0
Do you have dietary restrictions?,I restrict myself to eating as healthy as possible.,1
Do you remember that funny teacher we had when we were in year 9?,I remember a teacher from year 10.,0
Do you work near by?,I work in the office down the hallway.,1
Is crime low in this neighborhood?,it seems to be,1
Do you want to the movies?,I'm too tired.,0
Am I the same as you thought I'd be now?,You are a lot different than I thought you would be.,0
Do you like live music?,I prefer listening to music from the comfort of my couch.,0
Do you like live DJs?,I do enjoy them,1
Are you into reading magazine?,I prefer to read novels.,0
Are you looking for a job at the moment?,Trying.,1
Are you willing to spend some money?,When I have it!,1
Do you like going out for movies?,It's better than watching on a computer.,1
Have you worked in your company for a long time?,This will be my nineteenth year.,1
Have you liked living in your house ?,I loved it,1
Can you eat meat?,I can eat whatever I want.,1
Do you like romance books?,"Only when they have a strong, female lead.",1
Do you like any sports?,Baseball is fun.,1
Is New York a nice place?,In my opinion it's lovely.,1
Can you give me a ride home?,I rode my bike to work.,0
Do you like bbq?,I love to bbq,1
Do you like humor?,of course I do,1
Would you ever learn to play piano?,I'd rather learn drums.,0
Are you into team sports?,I like to watch team sports.,1
Will you be at work tomorrow?,I'll be coming in early actually.,1
Do you live here now?,I'm visiting my mom.,0
Have you tried that new Thai restaurant on the high street ?,I haven't but I hope to,0
Are you staying for the weekend?,I leave on Tuesday.,1
Do you still live in the same neighborhood?,Not anymore,0
Do you like non fiction?,I think nonfiction is very interesting to read.,1
Do you like sandwich?,Sandwiches are tacky.,0
Will this be your first time in New York?,My mom had a flat in NYC for years.,0
Would you like to stop for a drink with me?,Sounds great.,1
Will you be working full-time?,I've requested part time.,0
Are there too many deadlines?,No just the right amount,0
do you like salads?,Only if they are drizzled with vinaigrette.,1
"I have this great autobiography, if that is the sort of thing you would be interested in?",I don't like autobiographies.,0
Would you like to go eat some sushi?,Eating sushi sounds pretty good.,1
Do you want to leave the job?,I would rather stay for now,0
Do you need to learn new skills for this new job?,The learning curve will be steep.,1
Have you been well over the years?,I had cancer last year.,0
Are you enjoying your time?,It's been very nice visiting you.,1
Is Mexican food too spicy for you?,It makes me sweat uncomfortably.,1
Has he proposed yet?,I think he will soon.,0
Have you read the latest Stephen King book?,I haven't checked him out lately.,0
Are you from around here?,I was born at the hospital around the corner.,1
Are you still interested in space?,I was invited to work at NASA as a contractor.,1
Did you move for work?,My job relocated me to this region.,1
Have you graduated yet?,I finished up a few months ago.,1
Is it more than a one bedroom?,It's a loft.,0
Is it the end of the day already?,Either way I am out!,1
Do have any pets?,We have a dog.,1
Do you like parties?,I'm always looking for a fun party.,1
Do you have any pets,We've got a few Yorkies.,1
Do you find your manager always offended?,He is always looking for offence.,1
Are you going to watch Star Wars at the movies?,I wouldn't miss a Star Wars film.,1
Will you be seeing your family this weekend?,I plan to see my family as soon as I leave.,1
Will your family be visiting this weekend?,They've changed their plans.,0
Do you want to go partying tonight?,I'm too beat.,0
Are you enjoying your stay?,It's great being here with you.,1
Do you enjoy reading classics?,I haven't touched any since school.,0
Would you like to see the gig at the town hall next week?,I'm busy all next week.,0
Do you like your current job?,They love me there.,1
Off to the pub?,What are you drinking ?,1
Do you like spacious apartments?,I think it's great,1
Do you like karaoke?,Only in a group.,1
Want to come over for coffee tomorrow?,I have plans tomorrow.,0
Are you looking for a newer flat?,Character homes are some of my favourites.,0
Is the apartment big enough?,I'll have to leave some of my furniture behind.,0
Would you be interested in cultural events in the area?,I've always been curious.,1
Will you be spending Christmas in Calgary?,Where's that?,0
Do you like going to movies?,I often go to the movie theater.,1
Would you like to keep doing the same thing?,more of the same would do,1
Is budget a major consideration?,I have to think of the budget or I can't pay to do things.,1
Are you into Rock and Roll?,I like it quite a lot,1
Did you get enough sleep?,I tossed and turned all night.,0
Are you meeting everyone at the bar?,I believe so,1
Do you like reading fictional?,I like fiction more than non-fiction.,1
Do you like pop?,Lady Gaga is my fave.,1
Are you glad it is the weekend?,I'm not moving from my sofa for the next two days,1
Do you have a realtor?,Here name is Ana and she's very helpful.,1
Do you have any kids now?,I never married.,0
Do you go to concerts?,I love to.,1
Do you have any kids?,I don't have any kids yet.,0
Are you busy this weekend?,Lots of chores to do!,1
Do you play board games?,I own lots of board games,1
Are you a fan of fiction?,that is the best kind,1
Is your company private?,it is indeed,1
Do you like the idea of signing up with recruitment agents?,I'm open to it.,1
Is it stressful all the time?,I am pulling out my hair.,1
Would you like to live on a bus line?,I'd rather live near the subway.,0
Do you like mystery?,I prefer sci-fi.,0
Is karaoke something you enjoy?,I hate singing in public,0
Do you have any kids of your own now?,I am kid free,0
Is your room comfortable?,It's a 5 star experience.,1
Have you been to the area parks yet?,I haven't had time to explore the parks yet.,0
Should I give you my number?,I think I still have it,0
Do you like Chinese food?,It is too spicy for me.,0
Are you willing to read this book together?,That sounds hard.,0
Have you been working for a long time?,I've been here for 10 years.,1
Do you listen to classical?,I have some on my Iphone right now.,1
Do you know where you want to move to?,I'd love to move back to Chicago.,1
Do you like books by Steven King?,I prefer books by Stephen King.,1
Have you eaten yet?,I just had lunch.,1
Do you like watching anime?,I prefer Bugs Bunny cartoons.,0
Did you stay here the whole time?,I lived abroad for a while.,0
Want to go dancing?,Not if it's country line dancing.,1
Do you know what you'll do there?,I'll be a book editor.,1
Would you ever sky dive?,I did it once.,1
Do you still like hiking?,I hit the trail ever weekend.,1
Are you into R&B?,It's not typically my style.,0
Have you been looking for awhile?,My search has been long and hard.,1
Can you afford the flat?,We are sharing bills with a roommate.,1
Should we see that movie next week?,I don't think so.,0
Have you listened to music while cleaning?,I love to dance and sweep.,1
Do you like hip hop music?,I'm not a hip hop fan.,0
Do you ever wish we were still neighbors?,"I enjoyed you as a neighbour, but not really.",0
Are you able to afford it?,I am hoping so,1
Have you been to the movies lately?,I went a few weeks ago,1
Do you not like where you live now?,It's too small.,1
Do you like getting a massage?,They are my favorite way to pamper myself.,1
Are you a musician?,I can strum a few chords.,1
Do you like sandwich?,I love sandwiches.,1
Do you like to drink?,I usually have a cocktail on the weekend.,1
Are you willing to spend some money?,I'll spend what I have.,1
Do you work on weekends?,only if I have to,1
Are you up for going to the museum tomorrow?,I was hoping we could go to the lake.,0
Hey are you seeing that new movie this weekend?,I can't wait to watch it!,1
Have you gone to college?,I never did go,0
Do you enjoy seafood,I love seafood,1
Did you end up going to college?,I got my PHD,1
Have you ever been a big music festival?,Not a really big one,0
Do you like rock?,I like Bruce Springsteen.,1
Do you work during the day?,9-5.,1
Do you like sports?,I like most sports,1
Do you have a Spotify account?,I listen to it every day at work.,1
Are you all headed out now?,Looks like it,1
Do you live around here,I live three doors down from here.,1
Should we meet again next week?,You should come visit me in my town next week.,1
Do you mind living in a noisy area?,I'd prefer a quiet street.,1
Do you like vegan food?,I am fine with it.,1
Are you still teaching?,I have since changed jobs,0
Do you like e-readers?,My eyes hurt from reading on a screen.,0
Was the trip good?,"The train was packed, what a nightmare!",0
Would you be interested in cultural events in the area?,What do you have in mind?,1
Do you have any children?,My twin daughters are in high school now.,1
Are you familiar with the area?,I've only been here once before.,0
Is it in a good part of town?,It seems to be,1
Are you a fan of bars?,I prefer restaurants,0
Have you had any interviews?,"A couple, but nothing's stuck.",1
Are you still in the same job as last time I saw you?,I am committed to them.,1
Will it be expensive?,Not too expensive,0
Is your job still exciting and rewarding for you ?,I often feel bored.,0
Is your job located there?,I have relocated for my career.,1
Do you talk to any of our old friends?,I talk to some of them,1
Would you be willing to deal with a staff that's not super polite?,I'd rather support a restaurant where the people are nice.,0
Should we meet up for lunch on Monday?,We could try that new cafe.,1
Are you a science fiction fan?,I like some science fiction but,1
Do you get along with your colleagues?,Most of the time I do,1
Do you like asian food?,Only if it's spicy.,1
Have you ever rafted the Ocoee?,I did that last year.,1
Are you into R&B?,I like a lot of it,1
Are you interested in sushi?,I am afraid of raw fish.,0
Would you like to meet up for dinner?,I'm only in town for the day.,0
Are you married yet?,I am engaged,0
Do you eat breakfast food for lunch or dinner?,I breakfast food all day long.,1
Do you like Jane Austen?,I'm a huge fan of her work.,1
Do you work in town?,I work in the 'burbs.,0
Do you have family that will live here too?,My family is all on the west coast.,0
Are you happy?,Life is very good.,1
Are you looking forward to the weekend?,It'll be nice to relax.,1
